 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24
1,68.544,60.114,58.791,70.018,99.226,65.309,66.709,67.128,62.391,66.605,69.215,90.494,87.592,90.913,129.914,123.826,61.725,62.822,66.565,60.112,53.911,64.490,70.353,72.157
2,68.720,60.652,60.729,71.047,99.331,66.538,67.778,67.092,62.598,67.255,71.736,92.730,88.852,90.570,131.034,122.628,63.040,63.713,67.953,61.217,54.650,65.347,71.395,73.768
3,68.469,60.447,60.255,70.818,97.529,66.312,67.899,67.633,62.137,67.367,72.447,92.047,88.626,87.453,129.265,118.971,63.130,62.854,68.175,61.605,54.546,65.126,71.249,74.108
4,68.092,60.494,60.371,70.776,99.106,66.358,68.126,66.810,61.852,67.283,71.407,92.573,87.754,85.075,125.717,113.753,63.186,62.517,67.614,60.441,54.628,65.341,71.429,74.293
5,67.793,60.278,60.206,71.207,97.265,66.245,67.579,67.073,61.348,67.259,71.598,91.859,87.454,83.036,126.274,110.060,63.434,62.175,67.260,60.458,54.513,65.241,70.952,73.731
6,67.422,60.249,60.078,70.931,95.529,66.412,67.463,67.106,61.156,66.845,72.074,92.267,87.145,81.556,126.238,107.324,63.175,61.533,68.140,60.675,54.433,65.416,71.319,73.951
7,67.309,60.094,60.461,71.444,98.611,66.603,67.398,66.891,60.880,67.611,71.116,92.241,87.356,80.227,124.052,103.837,62.633,61.238,67.821,60.675,54.438,65.095,71.459,74.040
8,66.972,60.319,60.520,70.793,97.551,66.015,67.949,66.659,60.683,67.394,71.701,91.320,86.465,79.267,123.357,100.918,63.094,60.676,68.425,61.493,54.663,65.280,71.345,73.806
9,79.477,62.703,64.645,71.204,97.764,67.185,72.810,71.395,62.658,67.644,75.719,93.144,100.675,79.350,123.331,98.938,62.967,60.276,69.219,62.206,54.689,66.085,71.490,74.415
10,107.152,70.440,72.237,72.964,110.786,72.757,88.981,96.900,68.128,74.445,93.175,117.680,152.457,82.337,121.369,96.894,62.748,59.885,70.461,72.395,55.086,66.913,72.232,75.075
11,107.204,70.528,70.424,72.776,119.039,80.421,89.756,112.445,71.026,78.292,97.054,121.081,162.526,81.955,117.776,93.904,63.010,59.344,70.904,74.808,55.662,67.043,72.003,74.368
12,102.987,69.465,68.810,73.536,118.599,82.630,84.203,111.320,70.979,76.961,93.642,115.514,157.368,80.255,115.933,92.378,62.758,59.263,70.530,72.832,55.427,66.314,71.204,73.799
13,96.662,68.106,66.900,73.822,116.359,81.774,77.949,107.207,69.265,73.952,90.210,110.832,150.686,78.861,114.290,90.654,63.007,59.367,70.461,70.605,55.129,66.173,70.902,74.304
14,92.228,66.939,65.209,72.138,113.305,78.854,74.725,102.111,68.876,73.002,85.156,107.356,143.957,77.833,113.080,89.893,63.643,59.651,70.614,68.133,55.207,65.999,71.073,73.815
15,88.845,65.790,63.938,72.558,114.470,76.309,72.162,97.848,68.209,71.261,82.306,104.604,137.769,77.500,111.085,88.195,63.199,59.152,70.365,66.182,55.147,65.984,71.325,73.789
16,85.278,65.314,63.801,72.109,110.356,73.397,70.950,92.803,67.155,70.278,78.314,101.665,129.863,76.718,110.392,86.742,63.549,59.196,70.035,64.402,55.269,65.924,70.854,74.511
17,83.066,64.750,62.673,72.147,106.579,70.935,69.169,88.884,65.948,69.033,76.022,99.591,125.085,76.113,109.185,85.794,63.274,58.974,69.396,63.832,54.859,66.222,71.585,74.923
18,80.541,63.891,62.879,72.682,108.978,69.658,68.482,87.190,65.149,68.660,74.575,97.953,121.529,75.521,107.867,84.507,63.340,58.771,69.026,63.311,55.041,66.270,71.504,74.480
19,78.378,63.122,62.296,71.633,107.547,68.530,68.533,83.758,64.268,68.214,74.328,96.093,117.266,75.232,106.140,83.928,63.381,58.575,69.468,62.357,54.816,65.828,71.028,74.059
20,77.137,62.824,62.327,71.253,104.682,67.690,68.190,81.895,63.911,67.903,73.538,94.817,115.821,74.421,105.523,83.275,62.661,58.505,69.151,62.164,54.540,65.518,71.529,74.297
21,75.322,62.507,61.299,71.973,104.432,67.836,68.509,80.309,63.367,67.491,72.711,93.711,113.436,74.151,105.099,82.023,62.961,57.817,69.156,61.591,55.140,66.103,71.132,73.906
22,74.451,61.971,61.760,71.958,105.206,67.571,68.174,78.996,62.878,68.349,72.580,92.638,111.067,74.173,103.776,81.888,62.808,57.961,69.214,61.388,54.708,66.614,71.560,74.937
23,73.542,62.221,61.900,71.309,102.112,66.956,67.790,76.189,62.418,67.177,71.069,91.374,107.743,73.719,102.197,80.847,62.875,58.020,68.339,61.577,54.692,66.360,72.560,75.253
24,72.292,61.513,61.888,70.691,101.984,66.835,67.535,75.258,61.726,67.080,71.156,90.255,105.895,72.759,100.668,79.790,62.433,57.442,68.370,61.206,54.568,65.524,71.073,73.951
25,71.444,61.180,61.364,70.862,103.138,66.793,67.415,73.865,61.590,66.605,69.842,89.367,103.104,72.549,98.396,79.206,62.792,57.273,67.804,60.671,54.564,65.530,69.961,73.265
26,70.401,61.192,61.271,71.302,101.020,66.776,66.803,72.943,61.040,66.884,70.477,88.941,101.695,72.792,97.673,83.797,62.628,57.238,67.475,60.552,54.461,65.333,70.401,72.431
27,69.441,60.553,61.844,70.142,97.349,66.522,66.699,71.920,60.899,67.133,69.988,88.087,100.175,72.670,95.792,85.495,62.542,57.490,67.791,60.790,54.612,65.159,69.714,73.115
28,68.911,60.309,61.249,70.200,96.540,66.461,66.742,71.406,60.952,66.941,69.998,87.708,98.910,72.338,95.229,82.631,62.821,57.368,67.658,61.448,54.386,65.148,69.546,73.876
29,68.731,60.009,61.371,70.311,98.568,66.578,67.344,70.766,60.591,66.788,70.109,87.682,97.572,72.410,95.012,81.965,62.579,57.403,67.521,60.594,54.596,65.339,70.045,73.075
30,68.115,59.883,61.283,70.704,97.479,66.484,67.212,69.796,60.354,66.862,70.153,87.131,96.292,72.294,93.850,81.216,62.968,57.542,67.409,60.566,54.570,65.401,70.115,72.857
31,67.557,59.492,60.925,70.971,96.884,66.399,67.050,69.667,60.710,67.071,70.198,86.831,94.960,72.263,93.471,79.685,62.450,57.454,67.961,60.563,54.521,65.726,70.611,73.096
32,67.302,59.706,61.430,70.716,97.811,66.302,66.492,69.583,63.464,67.171,70.393,87.085,93.763,72.365,92.484,78.772,62.463,57.454,67.814,61.084,54.558,65.805,69.667,73.290
33,67.248,59.310,61.178,70.149,98.563,66.224,67.007,69.072,65.882,66.990,70.299,87.670,93.508,72.899,91.477,77.941,62.418,57.250,68.042,61.304,54.338,65.109,69.986,73.576
34,66.638,59.090,61.704,69.931,97.316,66.244,67.224,68.286,65.097,67.197,69.519,87.562,91.836,72.413,90.990,77.978,62.352,56.916,68.007,61.490,54.571,65.557,70.165,72.876
35,66.623,59.401,61.614,69.853,96.410,66.320,67.065,68.358,65.172,67.347,70.010,86.852,90.738,72.424,90.636,78.027,62.787,57.050,67.837,61.080,54.425,65.342,70.294,73.429
36,66.445,59.289,61.150,70.349,97.447,66.561,66.629,67.944,63.760,66.637,69.519,86.715,89.910,72.749,89.082,76.945,62.468,57.061,67.677,60.986,54.605,65.591,69.720,73.255
37,66.170,59.466,61.517,70.089,96.883,66.415,66.687,67.532,63.120,66.542,69.817,86.185,89.611,71.931,88.640,77.143,62.404,56.853,67.537,60.367,54.449,66.045,70.246,73.190
38,66.272,59.553,62.305,70.722,96.166,66.437,67.067,67.394,62.424,66.606,70.188,85.820,88.351,72.154,87.503,76.586,62.679,57.177,68.044,60.315,54.362,65.800,70.706,73.855
39,66.514,59.610,61.022,71.047,98.589,66.031,67.108,67.137,62.370,66.650,70.062,86.050,88.057,71.970,86.950,76.114,62.462,56.974,67.607,60.941,54.625,65.719,70.510,74.052
40,66.547,59.641,60.639,72.438,99.936,66.704,67.933,67.838,62.134,66.773,71.454,86.014,88.686,72.257,88.207,76.250,62.307,56.703,67.830,61.465,54.411,65.652,70.787,73.920
41,65.468,58.721,61.891,69.738,95.088,66.250,66.159,65.871,60.877,66.436,68.728,85.529,85.635,71.739,82.402,74.034,61.835,56.440,66.519,60.003,54.446,64.841,68.389,72.183
42,65.609,58.869,61.308,70.371,96.171,66.489,66.798,66.000,60.844,66.475,70.242,85.961,86.634,71.650,84.644,75.732,62.519,56.783,67.300,60.493,54.562,64.885,70.182,73.293
43,65.919,59.348,59.944,71.504,99.925,66.677,67.050,67.805,60.895,66.861,71.383,86.344,87.633,71.738,89.378,76.710,62.401,56.673,67.782,61.374,54.728,65.154,71.034,73.956
44,66.589,59.302,60.975,71.693,101.722,66.644,68.092,67.535,60.780,66.890,71.731,87.139,87.549,71.437,90.144,76.087,62.209,56.875,67.825,60.976,54.623,65.278,71.109,74.047
45,66.030,59.415,60.393,71.616,100.473,66.737,67.612,67.457,60.345,66.773,71.469,87.092,86.769,71.675,89.952,76.205,62.072,56.511,67.972,61.766,54.726,65.041,71.678,73.740
46,66.172,59.126,59.969,72.913,97.747,66.457,67.444,67.415,60.335,66.647,71.960,86.512,86.648,71.340,90.679,75.015,61.931,56.643,67.835,61.014,54.219,65.092,71.308,74.424
47,66.214,59.201,60.393,72.002,99.018,66.538,67.559,67.596,60.198,67.193,71.370,86.138,86.165,71.886,91.666,75.586,62.377,56.485,67.844,61.164,54.727,65.332,71.891,73.827
48,66.142,59.289,60.131,71.822,99.373,66.333,67.983,67.167,59.699,67.409,71.143,86.403,85.794,71.705,90.759,79.131,62.111,56.502,68.174,61.738,54.556,65.008,71.115,73.496
49,66.037,59.310,59.788,72.260,97.377,66.654,67.602,66.962,60.089,66.849,71.338,86.207,86.086,71.775,89.430,79.545,62.381,56.693,67.896,61.031,54.754,64.867,71.104,74.496
50,65.896,59.153,60.667,71.820,97.397,66.540,67.579,67.032,59.747,67.095,71.926,85.965,85.420,71.806,88.246,77.777,62.233,56.440,67.949,60.969,54.631,65.022,71.168,74.143
51,65.823,59.197,60.754,71.509,97.792,66.394,68.055,67.082,59.697,66.831,71.593,85.837,84.794,71.643,86.448,76.992,62.200,56.504,67.312,61.601,54.788,64.944,70.902,73.525
52,66.173,59.165,60.259,71.476,96.784,66.707,67.872,67.578,59.999,67.147,71.084,85.628,85.823,71.445,86.576,77.087,62.318,56.549,67.623,61.538,54.407,64.999,71.258,74.604
53,65.801,59.177,60.645,71.136,95.534,66.326,67.337,67.620,59.563,66.818,71.615,85.698,85.341,71.698,86.032,76.760,62.398,56.737,67.719,61.734,54.331,64.786,70.720,73.970
54,64.759,58.484,61.539,69.220,91.881,66.042,66.239,64.773,58.835,65.905,68.472,84.764,82.724,71.516,81.239,74.376,61.672,56.429,66.812,60.217,54.479,64.872,67.714,71.672
