 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24
32,64.163,57.977,58.941,69.271,89.708,63.717,63.918,61.545,57.868,64.183,69.464,80.562,80.086,74.267,90.570,90.742,62.704,62.954,65.621,59.437,53.786,62.971,68.577,69.504
33,63.983,57.889,58.832,69.184,89.146,63.489,64.328,62.225,57.551,64.217,69.407,80.482,80.198,74.912,92.869,92.354,62.965,63.225,66.230,59.122,53.539,63.083,68.367,69.337
34,64.014,57.757,59.178,69.744,89.514,63.536,63.768,62.437,57.419,63.946,69.605,80.806,80.123,74.276,92.968,89.634,62.816,63.408,65.896,59.273,53.453,63.003,69.148,69.141
35,64.086,58.003,59.128,70.349,90.603,63.684,64.024,62.453,57.648,63.815,69.960,80.572,80.349,75.147,92.611,88.010,62.997,62.943,65.970,59.231,53.446,63.315,68.574,69.717
36,64.237,57.833,59.389,69.398,89.103,63.916,64.005,62.318,57.427,63.968,69.398,80.223,80.100,75.386,93.257,92.336,62.980,62.807,66.237,59.392,53.631,63.126,69.132,69.475
37,63.885,57.770,58.427,69.976,90.020,63.647,64.272,61.999,57.439,64.094,69.435,80.645,80.469,74.841,91.516,92.164,63.084,63.330,65.735,59.280,53.702,63.116,69.118,68.974
38,64.033,57.806,59.106,70.427,90.505,63.418,64.390,62.109,57.453,63.704,69.627,80.803,80.410,74.123,89.827,89.695,63.043,63.098,66.298,59.647,53.604,63.001,68.146,69.806
39,64.110,57.965,59.280,70.647,89.152,63.581,64.005,62.488,57.397,63.985,69.825,80.990,80.186,73.515,91.633,88.460,63.249,63.112,65.730,59.119,53.544,62.938,68.782,69.471
40,64.195,57.801,58.670,70.589,91.748,63.811,64.272,62.369,57.311,63.979,69.647,80.915,80.049,73.167,89.806,89.738,62.947,63.061,65.991,59.182,53.559,63.359,68.524,68.890
41,64.104,57.694,59.514,70.149,89.936,63.626,64.631,62.287,57.378,63.868,69.511,80.777,80.888,73.731,88.749,92.352,62.942,63.434,65.951,59.510,53.487,63.150,68.784,69.405
