 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30
1,65.086,84.776,74.796,77.928,73.789,80.414,84.832,72.751,101.883,90.769,82.477,131.768,109.204,84.027,112.725,84.340,83.614,98.363,79.487,87.653,77.422,71.513,71.066,75.874,66.994,72.726,67.563,95.146,63.132,70.877
2,65.198,84.880,75.197,77.673,73.851,80.169,84.374,73.192,101.624,88.547,82.282,131.770,108.924,84.246,112.787,84.520,83.250,97.468,80.966,87.086,78.053,72.239,69.328,74.929,67.056,72.867,67.437,94.623,63.467,71.201
3,65.093,84.882,74.955,77.615,73.273,80.295,84.857,72.367,101.734,90.594,82.270,131.847,108.365,84.521,113.956,84.474,82.406,98.423,81.453,87.643,78.403,70.914,70.737,75.248,67.399,72.611,67.810,94.951,63.638,71.197
4,64.994,84.569,74.957,77.422,73.627,79.854,85.686,72.320,101.970,89.724,82.080,131.087,108.604,84.066,113.951,85.549,83.565,97.695,80.422,87.397,78.403,70.254,70.599,75.623,67.315,72.554,67.337,95.116,63.265,70.832
5,65.211,85.138,74.748,77.793,74.239,80.221,84.661,72.505,101.975,89.957,82.722,131.494,108.179,84.539,113.566,84.819,83.250,97.367,80.481,87.601,77.894,70.792,69.650,75.503,67.124,72.405,67.851,94.890,63.447,71.540
6,65.230,84.617,74.733,77.812,74.460,80.451,84.669,72.601,101.838,90.038,82.289,130.666,108.786,85.293,112.784,85.250,84.122,97.797,80.438,87.591,78.616,70.914,70.474,75.589,66.821,73.032,67.500,94.355,63.410,71.395
7,65.230,84.653,75.102,77.833,73.947,80.237,84.909,72.439,101.662,89.222,82.159,130.874,109.026,84.605,112.550,84.272,83.250,97.383,79.992,87.022,78.148,71.289,70.737,75.894,67.056,72.409,67.346,94.288,63.315,70.838
8,65.153,84.858,75.258,77.560,73.860,80.009,84.645,72.431,102.107,90.512,82.353,131.047,107.773,84.934,113.298,85.242,84.693,97.277,80.273,87.477,78.365,71.112,70.029,75.377,66.906,72.392,68.007,94.786,63.123,71.220
9,65.334,84.798,75.221,77.808,73.745,80.151,85.023,72.313,101.220,88.779,82.347,129.857,108.433,84.585,112.542,84.588,86.705,97.613,80.016,87.142,78.008,71.503,70.635,75.664,66.927,72.581,67.543,94.263,63.429,71.783
10,65.389,84.699,74.623,77.591,73.360,79.704,84.738,72.168,102.206,88.970,82.087,131.553,108.635,84.103,111.982,85.332,85.642,97.629,80.242,87.128,77.859,71.416,71.445,75.014,67.263,72.957,67.412,94.515,63.369,71.019
