 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30
721,65.329,81.978,78.799,78.889,76.960,78.407,81.690,85.141,101.066,89.696,81.528,121.383,102.341,84.501,112.316,85.181,82.364,93.878,79.333,83.499,82.494,73.462,72.730,75.723,68.687,88.265,69.557,89.014,69.709,74.476
722,65.053,81.820,78.507,78.886,76.255,78.329,81.349,86.834,100.892,89.161,81.344,119.443,102.558,84.431,112.468,85.170,87.207,93.625,79.386,84.419,82.011,73.289,71.832,75.542,68.852,89.114,69.620,88.750,70.375,74.728
723,65.007,81.194,78.122,78.352,75.543,78.132,81.607,86.371,99.695,89.497,81.030,120.645,101.621,84.018,112.674,84.177,85.301,93.442,80.602,83.894,80.859,73.081,72.949,75.580,68.664,89.236,69.210,88.505,70.105,73.683
724,65.179,80.894,77.435,78.207,76.050,78.347,81.449,86.657,98.589,88.271,81.272,119.557,101.823,84.123,110.902,84.168,84.372,93.625,79.727,82.842,81.483,73.005,70.489,75.874,68.983,88.707,69.581,88.332,70.122,73.479
725,65.047,80.850,77.535,78.269,74.804,78.368,80.961,84.974,98.521,88.418,81.133,118.404,101.514,82.421,111.956,84.103,83.506,93.393,80.556,82.613,81.030,71.457,71.964,75.409,68.761,88.644,68.921,87.665,69.713,73.757
726,64.947,80.317,76.758,78.100,75.267,78.225,81.389,85.290,98.320,88.286,80.954,119.583,101.309,82.678,112.949,84.326,83.327,93.909,79.305,83.140,81.719,72.766,71.401,75.405,68.761,87.762,68.934,88.371,69.681,73.922
727,64.823,80.487,76.607,78.067,74.398,77.755,80.549,84.333,98.054,88.179,81.188,119.783,102.041,83.901,111.440,84.676,83.756,93.217,79.301,82.806,80.369,72.112,71.489,75.157,68.622,87.595,68.231,88.365,69.707,72.864
728,65.173,80.729,76.591,77.457,75.236,78.192,80.599,84.420,97.765,86.500,81.240,119.204,101.326,84.225,111.440,84.417,82.250,93.078,78.501,83.683,80.240,72.168,71.847,74.666,68.948,87.105,67.726,88.754,69.490,73.172
729,64.831,80.663,76.583,77.677,75.031,77.939,81.019,83.279,97.323,88.231,81.074,119.347,101.627,83.277,112.684,84.932,84.668,92.750,79.139,82.824,80.745,71.629,71.803,75.898,69.024,86.045,68.880,88.844,69.709,73.877
730,64.940,80.104,76.286,77.379,75.096,77.933,80.299,82.768,97.284,87.436,81.298,119.670,101.729,84.000,112.542,83.994,85.773,92.922,79.624,83.511,80.635,71.584,70.533,75.676,68.911,84.742,68.360,88.710,69.073,73.346
731,64.672,80.886,76.415,77.315,75.031,77.877,80.723,81.682,97.203,87.433,80.933,120.026,101.086,83.918,112.810,84.650,85.457,92.452,79.131,83.226,80.452,72.254,71.190,74.442,68.795,83.684,68.077,88.798,68.537,74.515
732,64.847,80.074,75.830,77.689,74.130,78.185,81.052,81.571,96.880,86.913,80.983,119.798,101.121,83.213,110.769,83.952,84.537,92.148,78.463,83.044,80.707,72.096,70.956,74.554,68.978,83.480,68.120,88.997,67.904,72.731
733,64.741,80.355,76.327,77.739,74.432,78.223,80.245,80.407,96.816,87.706,81.252,119.202,100.786,82.645,110.653,83.478,83.523,92.275,77.741,82.846,80.494,71.898,71.562,75.159,68.805,82.027,67.830,89.031,67.374,74.502
734,64.843,80.265,76.187,77.744,74.829,78.077,81.341,79.386,97.433,87.090,81.387,119.053,100.829,83.762,110.961,84.469,83.449,92.207,77.679,83.465,81.175,72.178,70.642,74.690,68.431,81.293,67.726,89.033,68.309,73.521
735,64.733,80.028,76.782,77.296,74.630,78.142,80.331,78.712,95.553,86.254,81.580,118.947,100.900,82.985,111.057,84.039,83.369,92.236,78.507,82.996,81.380,72.279,71.642,75.185,68.686,79.640,67.412,88.067,67.974,74.450
736,64.677,80.323,76.006,77.631,74.649,77.944,80.830,78.360,96.751,87.537,81.302,118.923,100.567,82.476,111.476,84.255,83.023,91.902,78.707,83.878,81.384,71.853,71.511,74.914,68.457,78.860,68.389,88.682,67.651,74.553
737,64.476,80.178,75.988,77.537,74.730,77.675,80.603,77.917,99.350,87.433,81.739,120.938,101.123,82.368,110.290,83.481,83.190,92.235,78.329,83.269,81.125,72.838,70.985,74.483,68.552,78.699,68.554,88.571,66.972,73.573
738,64.985,84.421,76.612,83.525,79.307,79.399,80.915,79.422,123.256,95.042,84.963,139.440,147.518,94.567,116.535,88.656,94.006,95.120,83.250,83.277,82.019,74.315,73.328,96.513,69.073,80.495,68.335,89.351,66.033,74.181
739,71.274,153.192,89.670,88.909,82.248,79.950,101.950,90.872,120.834,95.930,85.087,139.715,184.169,101.600,119.645,89.579,98.011,93.475,81.931,83.749,83.110,76.234,75.336,110.910,69.091,92.633,67.441,88.967,65.784,73.731
740,77.068,181.980,102.589,86.526,79.929,79.331,149.241,102.968,114.279,94.517,83.146,135.268,168.947,96.792,118.046,88.191,93.472,94.264,81.891,83.525,83.627,76.670,73.956,103.147,69.003,106.498,68.201,88.768,65.326,74.058
741,76.655,180.257,102.748,84.377,79.121,79.246,140.753,103.644,107.535,93.274,82.470,131.194,153.764,91.485,116.419,87.005,89.267,94.161,81.586,83.367,82.548,75.437,74.277,93.000,68.753,107.346,68.167,89.222,64.738,74.398
742,74.740,162.804,99.398,82.137,77.609,78.654,122.314,100.527,104.773,90.264,82.279,129.021,140.291,87.320,115.285,85.637,86.787,93.582,81.125,84.441,82.593,75.746,73.219,86.122,68.524,104.308,68.027,88.790,64.691,73.906
743,72.452,144.896,95.327,81.269,77.363,79.065,108.528,97.299,102.191,88.771,81.911,127.074,130.012,85.681,113.344,84.569,85.060,93.199,79.861,84.022,81.996,73.132,72.781,82.978,68.846,100.948,67.842,89.152,64.244,73.718
744,70.482,127.381,91.399,80.792,76.708,77.950,98.960,94.273,100.090,89.457,82.194,126.030,121.950,83.615,112.326,85.177,84.864,93.177,80.273,83.589,81.703,74.533,73.124,80.660,68.688,97.122,67.733,89.387,64.078,73.110
745,69.302,112.234,89.046,80.230,76.925,79.092,93.183,92.482,100.039,89.783,81.763,125.102,117.801,83.103,112.463,84.704,84.051,92.648,79.626,83.864,81.525,74.010,71.599,79.145,68.310,94.937,67.541,88.729,63.722,74.058
746,68.140,102.042,86.336,80.338,76.783,78.523,89.177,89.115,99.178,88.440,81.563,123.479,113.404,82.900,110.458,84.474,83.597,93.198,78.919,83.752,80.981,74.223,72.985,77.621,68.290,92.170,68.195,89.513,64.081,74.366
747,67.267,94.319,84.218,79.534,76.742,78.582,87.671,88.222,97.944,88.998,81.638,123.249,111.371,81.934,109.789,83.898,83.616,92.581,78.121,84.002,81.209,73.711,73.277,76.501,68.529,89.574,68.437,89.232,63.568,74.146
748,66.640,90.062,82.694,79.576,75.280,78.607,85.470,86.463,98.580,88.145,81.185,122.194,109.268,82.190,110.555,84.747,83.733,92.511,78.244,84.230,81.338,72.553,70.847,76.102,68.355,88.247,67.265,89.286,63.440,73.152
749,66.038,87.150,81.576,79.069,75.686,78.763,84.674,85.450,97.849,87.356,81.551,122.745,107.056,82.156,108.787,84.747,83.278,93.003,78.762,83.806,81.411,72.949,71.380,75.786,68.406,86.431,67.437,88.876,63.461,73.638
750,65.934,84.930,80.813,79.178,75.646,78.838,84.663,84.565,97.753,88.124,81.512,121.983,105.332,82.299,110.008,84.130,82.304,93.071,78.297,83.557,81.106,73.234,71.518,75.992,68.580,84.918,67.493,88.592,63.439,73.958
751,66.082,84.451,80.036,78.777,74.969,79.005,83.326,82.429,97.157,87.291,81.801,121.809,105.086,82.187,110.900,84.133,82.858,92.614,77.794,84.092,81.563,72.223,72.248,75.725,68.110,82.730,68.213,88.728,63.253,73.227
752,65.586,82.908,78.954,78.156,75.497,78.830,82.649,82.124,96.692,86.485,81.122,120.921,103.938,81.641,109.442,83.756,82.625,92.457,78.131,83.699,81.019,72.924,72.438,76.022,68.362,81.998,67.561,89.056,63.430,73.625
753,65.445,82.253,77.949,78.407,75.646,78.768,82.728,80.058,97.548,87.841,81.576,121.047,103.906,81.588,110.023,83.843,83.207,92.626,77.988,84.014,81.144,72.863,71.978,74.890,68.408,80.249,67.724,89.285,63.377,73.537
754,65.265,81.848,78.085,78.071,74.780,78.492,82.819,78.776,97.220,87.923,81.318,120.449,103.924,82.479,109.139,83.801,83.298,92.942,78.000,83.806,82.395,72.660,71.891,75.377,68.390,79.313,67.925,88.994,63.028,73.107
755,64.922,81.731,77.771,78.178,75.780,78.593,81.588,78.377,96.602,86.637,81.513,121.713,102.290,81.960,106.694,83.961,83.267,92.918,77.665,84.158,81.300,72.198,71.474,75.057,68.108,78.483,67.857,89.053,63.212,73.126
756,65.108,81.667,77.911,78.174,75.453,78.578,81.197,78.062,97.382,86.388,81.560,120.609,102.022,82.564,108.884,83.860,82.881,92.407,78.606,84.363,81.038,72.543,71.175,75.181,68.314,77.372,67.224,89.036,63.004,73.835
757,65.082,80.651,77.206,79.679,77.053,78.992,81.486,76.951,112.261,92.184,82.091,120.681,102.962,83.835,108.563,84.506,82.841,92.735,79.527,83.888,81.551,73.421,72.095,77.094,68.432,77.088,67.747,88.490,62.839,73.874
758,64.889,80.980,77.199,80.038,76.748,78.772,81.318,75.945,111.904,92.246,82.169,123.143,102.100,82.858,108.851,84.608,82.653,92.503,79.218,83.717,80.696,73.299,73.058,76.326,68.507,77.009,68.038,88.739,63.326,74.097
759,64.829,80.713,76.891,81.251,77.348,79.233,81.166,77.128,122.462,91.931,82.459,123.491,102.523,83.817,109.041,84.642,83.980,92.348,80.002,84.078,81.183,74.665,73.825,77.263,68.367,77.356,67.760,89.125,63.052,73.505
760,65.016,80.575,77.313,81.063,77.621,78.961,81.740,76.559,117.623,90.276,81.813,123.121,102.492,83.415,107.969,84.293,84.835,92.846,79.127,83.607,81.202,73.340,71.737,76.517,68.060,76.765,67.446,89.069,63.049,73.621
761,65.056,81.236,76.462,80.098,76.115,79.316,81.410,76.224,111.396,89.114,81.669,121.872,101.783,82.753,108.237,84.009,83.176,92.540,80.101,84.016,81.289,74.315,72.007,75.273,68.369,76.371,68.265,89.182,63.048,72.854
762,64.865,80.507,76.518,79.737,76.786,78.746,80.873,75.586,106.645,87.950,81.507,121.787,101.436,81.837,109.152,84.792,82.656,92.618,80.232,83.559,81.646,73.102,72.416,74.493,68.198,75.755,67.826,88.980,63.022,73.871
763,65.232,80.545,76.662,79.000,76.606,79.115,80.988,74.691,104.431,87.485,81.611,121.868,101.976,81.811,107.494,84.302,83.577,92.335,79.192,84.361,80.665,73.360,71.818,74.943,68.221,75.514,68.029,89.333,62.726,73.210
764,65.253,80.780,76.754,79.126,76.099,78.587,81.039,75.326,102.235,86.299,81.650,120.577,100.712,82.314,108.501,83.699,82.094,92.585,78.778,84.407,81.338,73.289,72.007,74.800,68.351,75.044,67.561,89.858,63.113,73.353
765,65.148,81.206,76.399,78.398,76.267,78.789,81.191,74.719,100.915,86.410,81.659,120.383,101.487,81.424,107.594,83.887,83.065,92.394,78.325,84.234,81.593,72.888,71.949,74.692,68.012,75.140,67.837,89.013,62.870,72.981
766,65.211,80.982,76.370,78.553,76.224,79.088,81.430,74.708,99.843,87.283,81.677,120.921,101.565,81.231,108.165,83.807,83.222,93.397,78.184,84.772,81.065,73.406,72.606,75.061,68.435,74.920,67.557,89.471,62.950,73.531
767,64.787,81.112,76.295,78.211,75.435,78.845,81.000,74.650,99.244,87.162,81.259,119.511,101.095,81.344,107.817,84.056,83.457,92.962,78.691,84.365,81.551,72.416,72.343,74.974,68.070,74.061,67.753,89.540,62.941,73.350
768,64.942,80.533,76.071,78.770,75.820,78.998,81.306,74.486,98.831,86.418,81.713,120.474,100.731,82.198,107.183,83.432,82.281,93.254,78.036,84.098,80.536,73.132,72.606,74.014,68.186,74.474,68.111,89.091,63.042,73.482
769,65.063,80.565,76.362,78.486,75.295,78.821,80.755,74.215,97.946,86.602,81.461,120.379,100.885,81.681,107.913,83.211,82.474,92.809,78.586,84.848,80.665,72.426,71.847,74.519,68.126,74.151,67.930,89.091,62.973,73.547
770,65.059,80.273,76.412,78.150,74.506,79.281,81.114,74.168,98.489,86.776,81.610,119.938,99.953,81.993,107.653,83.747,83.080,92.451,78.087,83.301,81.620,72.508,72.942,74.367,68.132,73.815,67.554,88.919,63.206,73.168
771,64.978,80.735,75.992,77.967,75.435,79.269,80.715,74.081,98.567,85.941,81.564,120.611,101.017,81.247,107.023,83.656,81.886,92.372,78.701,83.743,80.840,73.096,71.642,74.242,68.093,73.770,67.520,88.770,62.974,73.482
772,64.956,80.717,76.031,77.786,74.913,78.652,80.289,74.156,97.401,86.137,81.786,119.989,100.083,81.602,107.357,83.383,82.355,92.099,77.972,84.072,80.802,73.487,71.854,74.100,68.025,73.829,67.262,89.254,63.011,73.191
