 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15
1,59.053,64.623,60.130,87.467,62.681,60.302,59.036,62.332,54.943,65.250,63.475,57.019,56.588,55.797,57.659
2,58.859,64.790,60.166,91.593,62.244,60.237,59.189,62.097,54.208,65.248,63.931,57.142,57.274,55.935,58.033
3,59.003,65.742,60.532,90.587,62.456,60.309,59.162,62.293,54.752,65.073,63.627,56.768,56.813,55.810,57.561
4,59.121,64.239,60.263,87.800,62.298,60.482,59.192,62.407,54.517,64.652,63.611,56.906,57.024,55.514,58.196
5,58.824,65.308,60.804,88.970,62.432,60.419,59.023,62.419,54.471,63.862,63.893,57.130,56.757,55.472,57.632
6,58.996,66.065,60.079,91.500,62.443,60.378,59.536,62.329,54.208,63.241,64.009,57.111,56.536,55.827,57.578
7,59.076,64.876,60.211,89.288,62.077,60.034,59.022,63.082,54.186,63.027,63.955,57.030,56.931,55.624,57.869
8,59.034,65.121,60.328,89.492,62.254,60.225,59.221,62.610,54.315,62.293,63.143,56.953,57.106,55.770,58.125
9,59.009,65.610,60.393,93.710,62.514,60.435,59.168,62.557,54.136,61.342,64.134,56.525,56.723,55.712,58.016
10,59.000,65.148,60.640,91.252,62.623,60.609,59.296,62.528,53.487,60.663,63.710,56.898,56.522,55.679,57.774
11,59.124,65.696,60.391,92.077,62.100,60.171,59.294,62.482,53.778,59.878,63.736,56.985,56.554,55.768,58.041
12,59.005,65.078,60.126,93.872,62.242,60.138,59.221,63.160,53.610,59.684,63.819,56.868,57.156,55.994,57.847
13,58.847,64.720,60.241,91.008,62.419,60.170,59.152,62.901,53.516,58.775,63.489,57.285,56.834,55.744,57.305
14,59.242,66.262,60.706,90.203,62.419,60.220,59.141,62.298,53.589,58.738,63.799,57.060,56.641,55.595,57.989
15,59.078,64.941,60.597,94.418,62.582,60.452,59.240,62.211,53.062,58.544,63.683,57.351,56.551,55.653,58.267
16,59.005,64.616,60.172,92.445,62.494,60.291,59.137,62.262,53.036,57.972,63.663,57.147,57.230,55.746,57.698
17,59.201,65.980,60.259,90.292,62.323,60.266,59.333,63.075,53.071,57.493,63.447,57.300,56.760,55.635,58.082
18,59.013,65.482,60.237,94.138,62.591,60.161,59.101,62.736,52.862,57.507,63.736,56.864,56.836,55.441,57.894
19,58.969,65.466,60.508,91.703,62.713,60.192,59.215,62.082,52.724,57.716,64.124,57.023,56.367,55.723,57.504
20,59.067,65.727,60.316,90.070,62.763,60.726,59.335,62.845,52.548,57.679,63.776,57.075,56.625,55.632,58.251
21,58.780,65.085,60.512,94.370,62.509,60.315,59.345,62.528,52.799,56.745,63.562,56.798,56.554,55.642,57.804
22,58.896,65.430,60.028,93.473,62.386,60.428,59.475,62.617,52.955,56.869,63.438,57.177,56.865,55.616,57.632
23,59.424,65.390,60.466,90.555,62.638,60.319,59.067,62.167,52.453,56.851,63.719,57.075,56.850,55.713,57.986
24,58.850,64.905,60.532,91.118,62.442,60.389,59.375,61.792,52.669,57.074,63.773,56.706,56.678,55.551,57.932
25,59.325,65.302,60.692,94.067,62.272,60.395,59.236,62.242,52.288,57.328,63.880,56.979,56.731,55.517,57.719
26,59.121,65.829,60.721,92.835,62.647,60.439,59.376,61.906,52.256,57.858,63.514,56.904,56.528,55.609,57.801
27,59.116,64.685,60.557,89.648,62.617,60.416,59.070,62.315,52.564,58.654,63.979,56.866,56.604,55.668,57.820
28,59.078,65.432,60.490,92.853,62.744,60.726,59.138,62.254,52.206,58.715,63.819,57.268,56.248,55.877,57.749
29,59.031,65.742,60.413,92.640,62.437,60.477,59.304,61.731,52.124,58.145,63.333,56.902,56.683,55.752,58.019
30,59.157,64.727,60.619,90.135,62.416,60.356,59.193,62.254,51.931,58.466,63.690,57.083,56.863,55.634,57.670
31,59.092,66.169,60.885,90.022,62.409,60.428,59.486,62.177,51.964,58.518,63.622,57.108,56.821,55.682,57.640
32,59.151,65.230,60.644,95.240,62.478,60.240,59.153,62.308,52.112,58.489,63.897,57.009,57.198,55.694,57.316
33,59.041,64.883,60.109,92.513,62.418,60.512,59.231,61.845,51.926,57.947,63.999,56.921,57.298,55.642,57.351
34,59.221,66.245,60.601,89.655,62.307,60.387,59.025,61.833,51.866,58.202,63.811,56.911,56.617,55.598,57.875
