 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15
51,79.205,73.779,76.522,102.615,69.801,66.286,65.652,59.029,56.000,59.410,70.884,63.813,62.190,64.504,64.866
52,77.603,72.603,77.121,107.825,69.817,66.439,65.301,60.172,55.834,60.280,70.968,63.504,62.050,64.316,64.490
53,76.440,72.846,75.150,103.167,69.956,66.649,65.447,60.550,56.035,60.172,70.784,63.547,62.148,64.245,64.302
54,75.373,74.360,72.117,100.800,69.767,66.483,65.126,59.262,55.936,60.206,71.371,63.445,61.749,63.909,64.510
55,72.912,72.753,70.156,99.675,69.546,66.483,65.519,58.860,55.800,59.498,71.175,63.396,61.575,63.553,63.918
56,72.603,71.683,68.933,98.553,69.563,66.423,65.098,59.673,55.741,58.837,70.781,63.389,61.325,62.888,63.681
57,70.650,71.677,67.318,105.010,69.875,66.553,65.442,59.656,55.779,59.018,71.216,63.232,61.728,62.822,64.095
58,70.031,72.488,67.038,103.535,69.348,66.419,65.297,59.707,55.473,58.241,70.897,62.706,61.670,62.384,63.338
59,68.995,70.846,68.854,100.890,69.765,66.624,65.382,59.087,55.706,58.573,70.860,63.308,61.644,61.940,62.913
60,68.539,71.236,77.939,98.825,69.790,66.278,65.378,59.557,55.803,58.317,70.699,63.083,61.546,62.211,62.973
61,68.041,72.195,82.281,98.003,69.302,66.250,65.004,59.644,55.964,57.991,70.579,62.642,61.480,61.339,63.191
62,67.512,71.011,77.300,103.150,69.150,66.584,64.920,59.252,55.283,58.408,70.937,61.915,61.660,61.632,62.613
63,66.908,70.941,73.848,104.412,69.648,66.246,65.390,58.249,55.829,58.099,70.609,62.404,61.731,61.052,62.698
64,66.784,71.410,70.565,101.227,69.296,65.975,64.774,58.661,55.660,57.800,70.885,62.592,61.575,61.178,62.602
65,66.565,72.154,68.806,98.353,69.533,66.533,64.981,58.177,55.613,57.736,70.761,62.204,61.298,61.036,62.351
66,66.092,71.293,67.814,96.378,69.195,65.826,65.344,57.993,55.505,57.642,71.048,62.542,61.483,60.352,62.379
67,66.129,72.510,66.727,96.555,69.005,66.123,64.908,58.061,55.515,57.690,70.592,62.206,61.966,60.520,62.016
68,65.236,72.082,66.447,105.173,69.167,66.177,65.372,57.942,55.667,57.771,70.825,62.453,61.222,60.519,61.959
69,64.914,70.570,66.130,102.072,69.274,66.750,65.283,58.223,55.441,57.718,70.820,62.309,62.150,60.254,62.362
70,64.634,70.939,66.115,99.793,69.427,66.849,64.994,59.651,55.508,57.555,70.502,62.664,61.786,59.781,62.959
71,64.585,72.993,68.411,98.283,69.373,66.767,65.231,59.729,55.642,57.635,70.682,62.481,61.704,59.749,61.820
72,64.732,71.141,79.261,100.843,69.639,66.624,64.900,59.245,55.515,57.791,70.570,62.102,61.710,59.793,62.158
73,64.392,70.744,81.427,103.597,69.657,66.168,64.820,58.692,55.165,57.427,70.665,62.383,61.887,59.820,61.747
74,64.171,72.191,76.032,101.268,69.190,66.234,64.825,59.668,54.941,57.346,70.777,62.374,61.248,59.872,62.207
75,64.128,71.223,71.134,99.520,69.460,66.444,64.929,59.044,55.373,57.257,70.736,62.068,61.203,59.460,62.098
76,63.653,71.247,69.117,98.103,69.109,66.018,64.887,58.717,55.277,57.461,70.525,61.840,61.338,59.502,61.651
77,64.385,71.332,67.144,102.667,68.816,66.593,64.941,59.702,55.091,57.661,70.006,62.266,61.456,59.747,62.183
78,63.532,70.787,67.002,103.053,68.915,65.931,64.813,59.046,55.228,57.594,70.776,61.866,61.931,59.118,61.452
79,63.472,71.447,66.257,99.948,69.379,65.794,64.976,58.663,55.592,57.300,70.274,62.109,61.356,59.207,61.163
80,63.438,70.649,65.700,98.348,69.404,66.141,65.205,58.598,55.098,57.456,70.371,61.900,60.955,59.204,60.804
81,63.751,72.176,65.494,97.403,69.003,66.296,64.925,58.123,55.371,57.229,70.785,62.079,60.918,58.891,61.302
82,63.244,70.386,65.306,102.843,69.064,66.293,64.795,58.240,55.273,57.184,70.391,61.785,61.533,59.057,61.687
83,63.133,69.868,65.188,101.043,69.224,65.783,64.888,57.649,55.354,57.523,70.178,62.087,61.551,59.204,61.240
84,63.487,71.603,65.421,99.902,69.125,65.979,64.904,59.676,55.490,57.041,70.238,62.332,60.955,58.979,61.153
85,63.497,71.490,65.358,97.325,68.970,65.946,64.488,59.523,55.399,57.215,70.293,62.226,61.375,59.279,61.485
86,62.966,70.002,65.875,99.078,69.288,66.387,64.481,58.741,55.527,57.050,70.528,61.875,60.939,58.880,60.899
87,63.018,70.818,65.796,103.610,69.387,65.988,65.071,59.303,55.596,57.397,70.248,61.842,60.910,59.436,61.986
88,63.224,71.664,65.368,101.108,68.751,66.196,64.823,59.240,55.627,57.094,70.194,61.866,61.061,59.136,61.760
89,62.831,70.638,65.067,98.373,69.071,66.038,64.940,58.225,55.744,57.388,70.157,61.891,61.609,59.107,61.079
90,62.961,70.993,68.006,99.173,68.812,65.722,64.742,57.787,55.611,57.417,70.524,61.908,61.092,58.955,62.161
91,63.100,71.460,71.692,103.147,68.823,66.171,64.590,58.276,55.608,57.074,69.810,62.017,60.873,58.951,61.311
92,62.993,70.425,70.101,101.057,68.967,65.832,64.761,58.303,55.561,57.238,70.006,61.642,60.916,58.877,61.177
93,62.737,70.544,67.755,99.135,69.311,65.909,64.734,59.729,55.891,57.195,70.220,61.794,61.507,58.908,61.365
94,63.080,71.364,66.739,99.175,69.141,65.798,64.813,59.458,55.650,57.220,70.501,61.940,61.343,59.026,61.161
95,63.117,70.499,65.623,103.950,69.017,66.129,64.964,58.797,55.358,57.316,70.431,61.560,61.169,58.483,61.518
96,62.924,70.931,65.152,101.655,68.851,66.127,64.577,57.722,54.744,58.197,70.190,61.830,61.050,59.026,61.540
97,63.006,70.842,65.569,99.307,68.959,66.348,65.299,57.935,55.194,57.718,70.686,61.617,61.224,59.110,61.807
98,63.153,71.007,64.844,98.213,68.820,66.063,64.977,57.889,55.246,57.420,70.411,61.413,61.174,59.229,61.371
99,62.662,71.844,64.721,103.357,68.978,66.154,64.561,58.559,55.469,57.183,69.929,61.940,61.646,58.702,61.480
100,62.634,71.176,64.761,100.783,68.652,65.130,64.800,59.262,55.463,57.317,70.255,61.206,60.609,58.968,61.360
101,62.728,70.282,64.889,98.312,68.837,66.252,64.601,58.627,55.276,57.457,70.333,62.096,61.446,59.065,61.537
102,63.033,71.813,65.004,100.490,69.258,65.665,64.669,58.208,55.513,57.287,69.718,61.594,61.150,59.015,61.267
103,62.783,71.399,64.836,102.882,68.734,65.426,64.818,58.034,55.309,57.449,69.969,61.332,60.889,58.992,61.278
104,62.617,70.766,65.180,100.900,68.758,65.859,64.472,58.162,55.330,57.681,70.416,61.400,61.245,58.817,61.281
105,62.822,71.412,64.696,98.438,68.459,65.527,64.443,59.075,55.232,57.018,70.073,61.304,60.997,58.724,60.886
106,62.791,70.111,65.148,103.012,68.555,65.505,65.094,59.274,55.126,57.239,69.530,61.947,61.024,58.729,61.793
107,62.780,70.312,64.802,103.367,68.842,65.716,64.438,59.489,55.421,57.168,70.387,61.275,61.325,58.473,61.580
108,62.640,71.295,64.731,100.652,68.595,65.772,64.726,59.065,55.481,57.216,69.550,61.611,60.860,58.799,61.365
109,62.721,70.605,65.466,100.307,68.630,65.548,64.556,58.412,55.277,57.479,70.138,61.381,60.913,58.830,61.499
110,62.371,70.787,66.431,105.135,68.967,65.682,64.351,58.228,55.192,57.170,69.761,61.494,60.718,58.585,61.215
111,62.768,71.414,65.229,103.383,68.497,65.813,64.672,58.189,55.266,57.009,70.322,61.757,61.208,58.801,61.537
112,62.282,71.150,65.441,100.517,68.735,65.795,64.370,58.056,55.228,57.363,70.315,61.834,60.881,58.959,61.166
113,62.344,70.330,64.555,100.082,68.860,66.217,64.808,57.780,54.966,57.062,69.893,61.655,60.894,58.932,61.289
114,62.174,71.245,64.577,105.518,68.694,65.394,64.282,57.707,55.315,57.248,70.026,61.481,61.069,58.603,61.251
115,62.386,70.557,64.708,103.898,68.361,65.438,64.784,58.232,55.455,57.140,70.125,61.260,61.005,58.874,61.747
116,62.345,69.983,64.656,99.813,68.590,65.139,64.032,59.000,55.396,56.959,69.768,61.662,61.216,59.253,61.428
117,62.508,71.356,64.804,102.327,68.482,65.258,64.344,59.416,55.471,57.285,70.103,61.442,61.293,58.752,61.692
118,62.115,70.711,65.036,106.098,68.644,65.755,64.589,58.571,55.502,57.613,70.113,61.394,61.322,58.742,61.376
119,62.016,70.434,65.680,102.540,68.648,65.734,64.536,58.150,55.797,57.385,69.849,61.330,61.237,58.488,61.253
120,62.591,71.306,69.437,100.040,68.639,65.633,64.531,58.048,55.657,57.514,70.139,61.632,61.269,58.875,60.866
121,62.174,70.523,68.628,99.642,68.686,65.441,64.763,58.847,55.586,57.152,69.858,61.343,60.871,58.451,61.161
122,62.440,70.484,67.038,105.492,68.898,65.552,64.488,59.419,55.432,56.936,70.174,61.749,60.913,58.932,61.044
123,62.679,71.174,65.599,103.280,68.974,65.479,64.771,58.901,55.501,57.202,70.006,61.209,61.459,58.538,60.744
124,62.435,70.612,64.834,99.923,68.222,65.641,64.814,58.259,55.796,57.672,70.032,61.677,60.580,58.624,61.272
125,62.548,70.230,64.593,98.653,68.437,65.448,64.665,58.366,56.568,60.970,70.024,61.702,61.063,58.833,61.281
126,62.883,70.976,64.626,103.702,68.600,65.622,64.805,57.538,57.606,61.888,70.300,62.364,61.963,58.606,61.120
127,62.540,70.141,64.379,104.152,68.487,65.925,66.052,57.562,57.990,62.179,70.341,62.849,61.773,59.136,61.698
128,63.196,71.200,67.680,130.762,75.704,65.570,67.411,58.542,58.196,62.484,71.705,63.330,61.821,59.726,62.485
129,81.777,91.334,96.907,163.100,89.451,68.476,78.630,59.295,58.338,62.454,72.556,66.121,64.979,69.629,70.828
130,96.477,97.525,102.599,151.363,86.902,70.849,84.369,58.734,58.322,64.119,73.376,67.283,67.549,76.120,73.896
131,101.903,97.711,101.484,149.215,89.932,72.184,86.148,58.400,58.571,65.328,75.008,68.732,67.720,79.282,74.826
132,103.209,99.818,102.170,150.050,91.943,73.627,86.324,58.462,58.175,66.512,77.336,69.149,68.047,80.438,75.185
133,103.458,100.226,101.615,161.090,97.352,75.108,85.948,57.886,58.701,67.291,79.149,69.545,68.103,80.726,75.662
134,102.834,100.794,101.038,170.700,99.765,75.334,85.008,57.898,58.464,66.757,83.646,69.389,68.050,81.966,75.016
135,102.531,101.892,99.980,157.775,92.603,75.004,84.000,57.705,58.558,67.170,86.983,69.402,67.670,81.731,75.692
136,102.409,101.829,98.743,145.528,87.656,74.807,82.299,57.969,58.372,67.071,86.562,69.615,66.602,81.165,75.022
137,101.322,101.067,99.565,169.520,96.154,74.688,81.231,57.700,58.864,66.512,86.230,69.304,66.536,81.626,75.763
138,101.176,100.970,99.352,180.170,102.009,74.021,78.754,59.775,58.757,65.949,84.198,69.079,66.401,81.417,75.188
139,101.259,99.933,99.146,165.112,95.546,73.167,77.771,58.823,58.685,66.346,84.261,69.704,66.309,80.929,74.946
140,100.580,99.616,98.830,151.942,89.312,73.215,76.246,58.600,58.994,64.745,83.602,69.168,66.580,81.491,74.556
141,99.883,99.243,98.518,141.527,85.312,72.372,74.981,57.857,58.745,65.766,81.776,69.313,65.369,80.921,74.199
142,99.479,96.544,97.850,132.418,81.093,72.195,74.128,57.610,58.541,65.161,79.772,68.772,65.894,79.979,73.681
143,98.995,96.126,95.783,126.168,79.456,71.037,72.931,58.794,58.491,65.711,77.665,68.947,65.195,80.580,74.341
144,98.163,94.920,94.476,119.498,77.139,70.408,71.590,58.581,58.930,65.289,76.400,69.009,65.607,79.883,73.207
145,97.709,93.503,94.002,116.985,76.023,69.373,69.906,58.412,59.145,65.151,75.450,69.104,64.855,80.326,73.504
146,96.933,92.523,91.735,112.733,74.517,68.940,68.955,57.993,58.987,64.895,74.438,69.213,64.710,79.348,72.725
147,96.503,90.430,88.458,110.193,73.234,68.283,67.609,57.981,58.873,65.037,73.940,68.674,64.826,78.994,71.646
148,95.438,86.881,84.662,106.728,72.557,67.849,66.618,57.792,58.380,64.076,73.453,68.004,64.071,77.464,71.213
149,94.235,84.508,80.826,104.365,72.059,67.129,66.110,57.760,58.520,63.376,72.978,67.294,63.525,76.810,70.719
150,93.632,82.967,77.957,103.665,71.487,66.898,65.345,58.010,58.234,62.507,72.485,67.513,63.166,76.076,70.480
151,92.687,82.722,75.443,102.765,71.317,66.776,65.339,57.748,58.483,63.076,72.117,66.464,62.792,75.175,69.605
152,91.632,80.317,73.686,101.328,70.734,66.469,65.361,57.385,57.999,63.913,71.852,65.874,62.631,73.987,68.777
153,90.788,78.321,72.196,101.633,70.542,66.211,65.455,59.545,58.257,62.840,71.593,64.960,62.580,73.509,68.439
154,89.332,78.108,70.960,110.228,70.685,66.157,64.929,59.046,58.603,61.768,71.671,64.966,62.715,71.509,68.065
155,88.683,77.731,70.312,108.010,70.257,66.363,65.141,58.358,58.029,61.527,71.059,64.521,61.974,70.637,67.003
156,87.512,76.297,69.241,104.152,70.221,66.013,64.883,57.969,58.494,61.959,70.801,63.930,61.082,69.788,67.158
157,86.301,75.460,68.474,101.618,69.627,65.895,64.706,58.295,58.224,61.257,71.409,63.849,61.483,68.810,66.469
158,85.009,75.738,68.895,100.618,70.005,65.735,64.695,59.610,58.593,61.395,70.844,63.458,61.934,67.815,65.817
159,83.313,75.688,72.670,104.200,69.512,65.810,65.042,58.772,58.166,60.438,70.763,63.500,61.573,67.160,65.801
160,81.775,74.182,73.597,108.220,69.891,65.580,64.704,58.327,58.196,60.094,70.951,63.068,61.823,65.981,65.256
